Suburb,Match
ACACIA PARK,ACACIA
ACACIA PARK,ACASIA
ACACIA PARK,ACASIA PARK
ACACIA PARK,ACASIA PARK - KENSINGTON
AIRPORT,AIRPORT RUNWAY
AIRPORT INDUSTRIAL,AIRPORT INDUSTRIA
AIRPORT INDUSTRIAL,BOQUINAR INDUSTRIAL AREA
AIRPORT INDUSTRIAL,NEXT TO AIRPORT
AMANDA GLEN,AMANDA GLEN - BELLVILLE
AMANDA GLEN,AMANDA GLEN - DURBANVILLE
ANNANDALE FARM,ANNANDALE
ANNANDALE FARM,ANNENDALE
ASANDA,"ASANDA VILLAGE, STRAND"
ASANDA,ASANTA VILLAGE
ATHLONE,ATHLONE.
ATHLONE INDUSTRIA,ATHLONE INDUSTRIA 1
ATHLONE INDUSTRIA,ATHLONE INDUSTRIA 2
ATHLONE INDUSTRIA,ATHLONE INDUSTRY
ATLANTIS,ALANTIS
ATLANTIS,ATLATIS
ATLANTIS,"AVONDALE, ATLANTIS"
ATLANTIS INDUSTRIAL,ATLANTIS INDUSTRIA
ATLANTIS INDUSTRIAL,ATLANTIS INDUSTRY
ATLANTIS INDUSTRIAL,INDUSTRAIL
ATLANTIS INDUSTRIAL,INDUSTRIA
ATLANTIS INDUSTRIAL,INDUSTRIAL
ATLANTIS INDUSTRIAL,INDUSTRIAL AREA
ATLANTIS INDUSTRIAL,"PROTEA PARK, ATLANTIS"
AUSTINVILLE,AUSTENVILLE
AVONWOOD,AVONWOOD~
BAKOVEN,BAKOVAN
BARDALE,BARDALE INFORMAL
BARDALE,"BARDALE INFORMAL,MFULENI"
BARDALE,BARDALE SQUATTER CAMP
BARDALE,BARDALE VILLAGE
BEACON VALLEY,BEACON VALLEY (MPN)
BEACON VALLEY,BEACONVALLEY
BEACONHILL,BEACON HILL
BEACONVALE,BECONVALE
BELGRAVIA,BEHIND CAYS CARAVAN PARK
BELGRAVIA,BEHIND HIGH GATE
BELGRAVIA,BELGRAVIA -BELLVILLE
BELGRAVIA,BELGRAVIA ESTATE
BELHAR,BELHAR 1
BELHAR,BELHAR 12
BELHAR,BELHAR 13
BELHAR,BELHAR 14
BELHAR,BELHAR 15
BELHAR,BELHAR EXT
BELHAR,BELHAR EXT 1
BELHAR,BELHAR EXT 10
BELHAR,BELHAR EXT 11
BELHAR,BELHAR EXT 12
BELHAR,BELHAR EXT 13
BELHAR,BELHAR EXT 14
BELHAR,BELHAR EXT 15
BELHAR,BELHAR EXT 16
BELHAR,BELHAR EXT 17
BELHAR,BELHAR EXT 17 ERICA
BELHAR,BELHAR EXT 18
BELHAR,BELHAR EXT 19
BELHAR,BELHAR EXT 2
BELHAR,BELHAR EXT 20
BELHAR,BELHAR EXT 21
BELHAR,BELHAR EXT 22
BELHAR,BELHAR EXT 23
BELHAR,BELHAR EXT 3
BELHAR,BELHAR EXT 4
BELHAR,BELHAR EXT 5
BELHAR,BELHAR EXT 6
BELHAR,BELHAR EXT 7
BELHAR,BELHAR EXT 8
BELHAR,BELHAR EXT 9
BELHAR,BELHAR EXTENTION11
BELHAR,BELHAR NT
BELHAR,CPUT
BELHAR,CPUT - BELHAR
BELLVILLE,BELL AIR
BELLVILLE,BELL GLEN
BELLVILLE,BELLAIR
BELLVILLE,BELLVILLE ( SANLAMHOF )
BELLVILLE,BELLVILLE ( STIKLAND )
BELLVILLE,BELLVILLE CBD
BELLVILLE,BELLVILLE LANDFILL
BELLVILLE,BELLVILLE LOT 3
BELLVILLE,BELLVILLE SHUNTING YARD
BELLVILLE,BELLVILLE SOUTH
BELLVILLE,BELLVILLE SOUTH EXT 13
BELLVILLE,BELLVILLE SOUTH EXT 5
BELLVILLE,BELLVILLE SOUTH INDUSTRIA
BELLVILLE,BELLVILLE SOUTH INDUSTRIAL
BELLVILLE,BELLVILLE SOUTH INDUTRIAL
BELLVILLE,BELLVILLE TEACHERS COLLEGE
BELLVILLE,BELVILLE
BELLVILLE,BOSBELL
BELLVILLE,CHRISMAR
BELLVILLE,DURBELL
BELLVILLE,O'KENNEDYVILLE
BELLVILLE,SANLAMHOF
BELLVILLE,SANLAMHOF - BELLVILLE
BELLVILLE,SONNENDAL
BELTHORN ESTATE,BELTHORNE ESTATE
BERNADINO HEIGHTS,BERNADENO HEIGHTS
BERNADINO HEIGHTS,BERNODINO HEIGHTS
BEVERLY PARK,BEVERLEY PARK
BISHOPSCOURT,BISHOPS COURT
BLAAUWBERG,BLAAWBERG/ CAPETOWN
BLAAUWBERG,BLOUBERG RISE
BLAAUWBERG,BLOUBERG SANDS
BLAAUWBERGSTRAND,BLAAUBERG STRAND
BLAAUWBERGSTRAND,BLAAUWBERG SANDS
BLAAUWBERGSTRAND,BLAAUWBERGRANT
BLACKHEATH,JACOBSDAL SMALLHOLDINGS
BLACKHEATH INDUSTRIA,BLACKHEATH INDUSTIA
