Correct,Wrong
ATLANTIS,ALTANTIS
ATLANTIS,AVONDALE
ATLANTIS,PHILADELPHIA
ATLANTIS,PROTEA PARK
ATLANTIS,ROBINVALE
ATLANTIS,SHERWOOD PARK
BELLVILLE,BELVILLE
BELLVILLE,OAKDALE
BELLVILLE,BELLVILLE SOUTH
BLAAUWBERG,AS PER CALLER - PARKLANDS AREA
BLAAUWBERG,AT NATURE RESERVE
BLAAUWBERG,BB
BLAAUWBERG,BLAAUWBERG/CAPE TOWN
BLAAUWBERG,BLAAWBERG
BLAAUWBERG,BLAAWUBERG
BLAAUWBERG,BLAUWBERG
BLAAUWBERG,BLOUBERGSTRAND
BLAAUWBERG,DU NOON
BLAAUWBERG,DUNOON
BLAAUWBERG,MONTAGUE GARDENS
BLAAUWBERG,PARKLANDS
BLAAUWBERG,PARKLANDS
BLAAUWBERG,RICHMOND PARK
BLAAUWBERG,TABLE VIEW
BLUE DOWNS,BLUEDOWNS
BLUE DOWNS,HILLCREST HEIGHTS
BLUE DOWNS,SILVERSANDS
BLUE DOWNS,SUNBIRD PARK
BRACKENFELL,BRACKENFELL (S)
BRACKENFELL,PROTEA HOOGTE
CAPE TOWN,AIRPORT
CAPE TOWN,BO KAAP
CAPE TOWN,CAPE BTOWN
CAPE TOWN,CAPETOWN
CAPE TOWN,CC
CAPE TOWN,CENTRAL
CAPE TOWN,COLORADO PARK
CAPE TOWN,CPAE TOWN
CAPE TOWN,CT
CAPE TOWN,EPPING
CAPE TOWN,FISANTEKRAAL
CAPE TOWN,HANOVER PARK
CAPE TOWN,LOWER CROSSROADS
CAPE TOWN,SCHAAPKRAAL
CAPE TOWN,SEA POINT
CAPE TOWN,SUMMERVILLE
CAPE TOWN,TEMBANI
CAPE TOWN,WINGFIELD
DURBANVILLE,EVERSDALE
EERSTERIVIER,EERSTE RIVER
EERSTERIVIER,EERSTE RIVIER
EERSTERIVIER,EERSTERIVER
EERSTERIVIER,EERSTERRIVIER
EERSTERIVIER,EERTSERIVER
EERSTERIVIER,PENHILL
ELSIES RIVER,ELNOR
ELSIES RIVER,ELSIES
ELSIES RIVER,ELSIES RIVIER
ELSIES RIVER,ELSIESRIVER
ELSIES RIVER,ELSIESRIVIER
FIRGROVE,RAITHBY
FISH HOEK,FISHOEK
GORDONS BAY,GORDON'S BAY
GORDONS BAY,GORDONSBAY
GORDONS BAY,FIRLAND
GUGULETHU,GUGULETU
HELDERBERG,GRABOUW
HELDERBERG,HELDERBURG
HOUT BAY,HOUTBAY
KHAYELITSHA,EXTENSION 12
KHAYELITSHA,KAYELISHA
KHAYELITSHA,KAYELITSHA
KHAYELITSHA,KAYELITSHIA
KHAYELITSHA,KHAYALITSHA
KHAYELITSHA,KHAYELITHSA
KHAYELITSHA,"KHAYELITSHA, TYGERBERG"
KHAYELITSHA,KHAYLITSHA
KHAYELITSHA,KHYALITSHA
KHAYELITSHA,"MAKHAYA, KHAYELITSHA"
KHAYELITSHA,MAKHAZA
KHAYELITSHA,PHUMLANI VILLAGE
KHAYELITSHA,SECTION D
KHAYELITSHA,SITE B
KOMMETJIE,SOETWATER
KRAAIFONTEIN,AT THE MEMORIAL SIDE
KRAAIFONTEIN,KRAAI FONTEIN
KRAAIFONTEIN,KRAAIFONTEIN/OOSTENBERG
KRAAIFONTEIN,MILTON NORTH STREET
KUILSRIVIER,BARDALE VILLAGE
KUILSRIVIER,HAGLEY ESTATE
KUILSRIVIER,KUILRIVIER
KUILSRIVIER,KUILS RIVER
KUILSRIVIER,KUILSRIVER
KUILSRIVIER,SAREPTA
MACASSAR,MACCASAR
MANENBERG,MANNENBERG
MELKBOSSTRAND,MELKBOS
MELKBOSSTRAND,MELKBOS STRAND
MFULENI,MFULENIE
MILNERTON,RICHWOOD
MITCHELLS PLAIN,BEACON VALLEY
MITCHELLS PLAIN,MICHELLSPLAIN
MITCHELLS PLAIN,MITCHELLES PLAIN
MITCHELLS PLAIN,MITCHELLS PLAIN
MITCHELLS PLAIN,MITCHELL'S PLAIN
